iter	RMSE
0	0.5078775599
1	0.4969873098
2	0.4867208005
3	0.4770134358
4	0.4687013332
5	0.4613480269
6	0.4533385631
7	0.4459032945
8	0.4385898113
9	0.4320004023
10	0.4259120134
11	0.4202426132
12	0.4148050738
13	0.4096832344
14	0.4052007042
15	0.4009710942
16	0.3968461177
17	0.3931080231
18	0.3896327619
19	0.38622971
20	0.3830677964
21	0.380549673
22	0.3778211126
23	0.3753274195
24	0.3729757808
25	0.3709753601
26	0.3688444826
27	0.3668755617
28	0.3650337355
29	0.3633581485
30	0.3619606093
31	0.3602504095
32	0.3586574062
33	0.3571331467
34	0.3558438304
35	0.3548011084
36	0.3537538017
37	0.3525742656
38	0.3515840018
39	0.3508338287
40	0.3498863849
41	0.348985477
42	0.3481530451
43	0.347250902
44	0.3466207514
45	0.3458394364
46	0.345265382
47	0.3447940167
48	0.3440589507
49	0.3435587487
50	0.3429630323
51	0.3424361351
52	0.3419479303
53	0.3415634313
54	0.3411363032
55	0.3407174757
56	0.3402935359
57	0.3399400564
58	0.3396584958
59	0.3393885986
60	0.3389425959
61	0.3385601762
62	0.3382402129
63	0.3378988927
64	0.3376144635
65	0.3372413977
66	0.3370307091
67	0.336730948
68	0.3365284236
69	0.3362942436
70	0.3360732457
71	0.3359067065
72	0.335699087
73	0.3355046144
74	0.3353070046
75	0.3351445527
76	0.3349268881
77	0.3346994198
78	0.3344605077
79	0.3343185955
80	0.334176277
81	0.3340203506
82	0.3338338182
83	0.3336478681
84	0.333521292
85	0.3333775159
86	0.3332994883
87	0.3331473619
88	0.3329808138
89	0.3328191278
90	0.3326879287
91	0.3325733483
92	0.3324537533
93	0.3323325458
94	0.3322220883
95	0.3321636932
96	0.332038086
97	0.3319313501
98	0.3317874723
99	0.3316583805
100	0.3315623532
101	0.3314330374
102	0.3313568208
103	0.3312439574
104	0.331157161
105	0.3311001824
106	0.3310008464
107	0.3308982018
108	0.33081502
109	0.3307297997
110	0.3306539464
111	0.3305225392
112	0.3304352814
113	0.3303430892
114	0.330265941
115	0.3301125374
116	0.3299701459
117	0.329827591
118	0.3297825977
119	0.3296233898
120	0.329536052
121	0.329491523
122	0.3293915453
123	0.3293308293
124	0.3292425599
125	0.3291502954
126	0.3290395178
127	0.3289855604
128	0.3288765342
129	0.3287855434
130	0.3287108336
131	0.3286744692
132	0.328623269
133	0.3285393971
134	0.3284555907
135	0.3283870671
136	0.3282489578
137	0.328166507
138	0.3281431083
139	0.3281026427
140	0.328024883
141	0.327881885
142	0.3278038812
143	0.3277663981
144	0.327680097
145	0.3275931133
146	0.3274875985
147	0.3274210535
148	0.3273327065
149	0.3272602179
150	0.3271932498
151	0.3271375187
152	0.3270882789
153	0.3270291356
154	0.3268789145
155	0.3267740086
156	0.3267351052
157	0.3266902608
158	0.3265472474
159	0.3265045679
160	0.3264196438
161	0.3263752569
162	0.3262904802
163	0.3261463073
164	0.3260655771
165	0.3259813968
166	0.3259176615
167	0.3258348839
168	0.325791852
169	0.3257147355
170	0.3256703313
171	0.3256225052
172	0.3255276335
173	0.3255041286
174	0.3254367849
175	0.3253654836
176	0.3252398482
177	0.3251978172
178	0.3251444369
179	0.3250545006
180	0.3249666802
181	0.3249469877
182	0.3249022384
183	0.3248214622
184	0.3247809701
185	0.3247507564
186	0.3246739115
187	0.3246112262
188	0.3245159282
189	0.3244124453
190	0.3242666328
191	0.3241786043
192	0.3241364773
193	0.3240887519
194	0.3240492253
195	0.3239076215
196	0.3238586327
197	0.3238188312
198	0.3237696349
199	0.3237272273
200	0.3236502371
201	0.3235956008
202	0.323492317
203	0.3234540071
204	0.3234105539
205	0.3232802079
206	0.3232484119
207	0.3231782848
208	0.3230669978
209	0.3229937977
210	0.3229561742
211	0.3228723467
212	0.3228194053
213	0.3227884952
214	0.3227746419
215	0.3226869369
216	0.3226099402
217	0.3225217884
218	0.3224271621
219	0.3223899421
220	0.3222868892
221	0.3222497282
222	0.3222274495
223	0.3221379604
224	0.3220329363
225	0.3219639329
226	0.3219109033
227	0.3218263334
228	0.321720976
229	0.3216692141
230	0.3216345831
231	0.321607447
232	0.3215725823
233	0.3215233553
234	0.321387537
235	0.3212997907
236	0.3212148735
237	0.3212057464
238	0.3211863418
239	0.3211302833
240	0.3210300197
241	0.3210041036
242	0.3209904326
243	0.3209646002
244	0.3209494786
245	0.3209236517
246	0.3208489955
247	0.3207695737
248	0.320715282
249	0.3207053769
250	0.3206663707
251	0.3206177167
252	0.3205598127
253	0.3205135908
254	0.3204933553
255	0.3203814873
256	0.3203234171
257	0.3202316611
258	0.3201480285
259	0.3201324465
260	0.3200628713
261	0.3200516358
262	0.3199481206
263	0.3199167795
264	0.3199095336
265	0.319843819
266	0.319827716
267	0.3197906789
268	0.3197523091
269	0.3197461892
270	0.3196808662
271	0.3196541606
272	0.3195645943
273	0.3195152324
274	0.3194374868
275	0.319411148
276	0.3192802037
277	0.3192466564
278	0.3191722046
279	0.3191358739
280	0.3190525753
281	0.3190430373
282	0.319014252
283	0.3189060153
284	0.31886455
285	0.3187862666
286	0.3187242176
287	0.3186615532
288	0.318628858
289	0.3185767332
290	0.3185704072
291	0.3185303
292	0.3184444032
293	0.3183223103
294	0.3182971765
295	0.3182533119
296	0.3181999482
297	0.3181612741
298	0.318086409
299	0.31800575
300	0.3179929871
301	0.317868746
302	0.3177742788
303	0.3177407149
304	0.3176852686
305	0.3176593418
306	0.3176329236
307	0.3175885411
308	0.3175832876
309	0.3174956683
310	0.3174073958
311	0.3172675801
312	0.3172439099
313	0.3171999852
314	0.3171372284
315	0.3170940391
316	0.3170270361
317	0.3170149235
318	0.3169487994
319	0.3169126291
320	0.3168304407
321	0.3168258892
322	0.3167699216
323	0.3167144995
324	0.3166839464
325	0.3166248031
326	0.3165875557
327	0.3165831542
328	0.3164968457
329	0.3164589026
330	0.3164237614
331	0.3163718254
332	0.3163305386
333	0.316253629
334	0.3161848605
335	0.3161194772
336	0.316073099
337	0.3160272538
338	0.3159640189
339	0.3159184416
340	0.3158831171
341	0.315832806
342	0.31581706
343	0.3158130515
344	0.3157275855
345	0.3156710397
346	0.3156049437
347	0.3155343292
348	0.3154910947
349	0.3154870488
350	0.3153936788
351	0.315364607
352	0.3153059764
353	0.3152121852
354	0.3152078604
355	0.3151637493
356	0.3151409783
357	0.3151095074
358	0.3150078186
359	0.3149720402
360	0.314878677
