iter	Passed	Remaining
0	2	1037
1	3	857
2	5	836
3	6	812
4	8	796
5	9	795
6	11	800
7	12	785
8	13	763
9	15	742
10	16	726
11	17	719
12	18	706
13	19	693
14	21	685
15	22	682
16	23	676
17	25	671
18	26	663
19	27	662
20	28	655
21	30	656
22	31	650
23	32	645
24	33	640
25	34	635
26	36	630
27	37	628
28	38	626
29	39	623
30	40	618
31	42	615
32	43	611
33	44	612
34	45	610
35	47	608
36	48	607
37	49	604
38	50	602
39	52	598
40	53	596
41	54	592
42	55	589
43	56	586
44	57	584
45	59	584
46	60	583
47	61	580
48	62	578
49	63	575
50	65	573
51	66	570
52	67	568
53	68	566
54	69	564
55	70	562
56	71	559
57	73	557
58	74	556
59	75	554
60	76	553
61	78	552
62	79	550
63	80	550
64	82	550
65	83	549
66	84	547
67	85	546
68	87	544
69	88	542
70	89	540
71	90	539
72	91	537
73	93	536
74	94	535
75	95	534
76	96	532
77	98	531
78	99	530
79	100	529
80	101	527
81	103	526
82	104	525
83	105	524
84	107	522
85	108	521
86	109	520
87	110	518
88	112	517
89	113	515
90	114	513
91	115	512
92	116	511
93	118	510
94	119	509
95	120	508
96	122	506
97	123	505
98	124	504
99	125	502
100	127	501
101	128	500
102	129	499
103	130	497
104	131	496
105	133	495
106	134	493
107	135	492
108	136	491
109	138	489
110	139	488
111	140	487
112	141	485
113	143	484
114	144	483
115	145	482
116	146	480
117	148	479
118	149	478
119	150	477
120	151	475
121	153	474
122	154	472
123	155	471
124	156	470
125	158	469
126	159	467
127	160	466
128	161	464
129	162	463
130	164	462
131	165	460
132	166	459
133	167	458
134	169	457
135	170	456
136	171	454
137	172	453
138	174	453
139	175	451
140	176	450
141	178	448
142	179	447
143	180	445
144	181	444
145	182	442
146	183	441
147	185	440
148	186	439
149	187	438
150	189	437
151	190	435
152	191	435
153	193	434
154	194	433
155	195	432
156	197	430
157	198	429
158	199	427
159	200	426
160	202	425
161	203	424
162	204	423
163	205	421
164	207	420
165	208	419
166	209	418
167	210	416
168	212	415
169	213	413
170	214	412
171	215	411
172	216	410
173	218	408
174	219	406
175	220	405
176	222	405
177	223	404
178	224	403
179	225	401
180	227	400
181	228	398
182	229	397
183	230	395
184	231	394
185	233	393
186	234	392
187	235	390
188	236	389
189	237	388
190	239	386
191	240	385
192	241	383
193	242	382
194	243	381
195	244	379
196	246	378
197	247	376
198	248	375
199	249	374
200	250	373
201	251	371
202	253	370
203	254	369
204	255	367
205	257	366
206	258	365
207	259	364
208	260	363
209	262	361
210	263	360
211	264	359
212	265	357
213	266	356
214	267	355
215	268	353
216	270	352
217	271	350
218	272	349
219	273	348
220	274	346
221	275	345
222	277	344
223	278	342
224	280	342
225	281	341
226	282	339
227	283	338
228	285	338
229	287	337
230	288	335
231	289	334
232	291	334
233	293	333
234	294	331
235	295	330
236	297	329
237	298	328
238	299	327
239	300	325
240	301	324
241	303	323
242	304	321
243	305	320
244	306	319
245	307	317
246	308	316
247	309	314
248	311	313
249	312	312
250	313	310
251	314	309
252	315	308
253	317	307
254	318	306
255	319	304
256	320	303
257	322	302
258	323	300
259	324	299
